Empire4; 35; games played; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Empire4&excusedTurns=All&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNorm=Yes&messageRule=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Quebec; 5.52857142857; 0.142857142857; 4.45714285714; 4.11428571429
; British-Columbia; 4.11428571429; 0.228571428571; 9.; 8.48571428571
; California; 5.05714285714; 0.; 2.22857142857; 2.4
; Heartland; 6.32857142857; 0.0571428571429; 0.628571428571; 0.342857142857
; Texas; 6.42857142857; 0.114285714286; 1.85714285714; 1.48571428571
; Cuba; 6.68571428571; 0.0285714285714; 0.171428571429; 0.314285714286
; New-York; 6.37142857143; 0.142857142857; 4.02857142857; 3.
; Mexico; 5.15714285714; 0.0571428571429; 2.91428571429; 2.91428571429
; Florida; 4.57142857143; 0.142857142857; 6.22857142857; 5.2
; Peru; 4.75714285714; 0.0857142857143; 4.85714285714; 4.34285714286
