Empire4; 8; games played; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Empire4&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNorm=Yes&messageRule=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Quebec; 6.375; 0.125; 2.; 2.625
; British-Columbia; 3.75; 0.25; 8.625; 8.375
; Heartland; 4.625; 0.125; 7.5; 6.125
; California; 3.75; 0.; 4.25; 4.25
; Texas; 8.625; 0.; -4.; -3.75
; Cuba; 7.375; 0.; -1.875; -0.875
; New-York; 5.5; 0.25; 8.25; 5.875
; Mexico; 6.; 0.; -0.75; -0.5
; Florida; 5.; 0.; 1.875; 1.75
; Peru; 4.; 0.25; 10.75; 8.25
