Modern2; 354; games played before game Les années collège; https://vdiplomacy.com/gamelistings.php?gamelistType=Search&status=Won&userGames=All&seeJoinable=All&privacy=All&potType=All&drawVotes=All&variant=Modern2&excusedTurns=All&anonymity=yes&phaseLengthMin=All&rrMin=All&rrMax=All&betMin=&betMax=&messageNon=Yes&sortCol=id&sortType=desc&Submit=Search&pagenum=1
Rémi; Country ; Average ranking; Victories; Average centers; Average units
; Ukraine; 6.13276836158; 0.0819209039548; 4.82203389831; 4.62994350282
; France; 6.28813559322; 0.0621468926554; 4.29378531073; 4.16384180791
; Turkey; 6.02824858757; 0.112994350282; 6.09604519774; 5.70903954802
; Britain; 5.49717514124; 0.0649717514124; 5.37005649718; 5.28248587571
; Germany; 5.6384180791; 0.11581920904; 6.61299435028; 6.28248587571
; Russia; 5.58757062147; 0.149717514124; 6.95197740113; 6.54519774011
; Egypt; 4.58615819209; 0.0790960451977; 8.4802259887; 8.17796610169
; Italy; 5.17514124294; 0.124293785311; 6.96327683616; 6.8813559322
; Poland; 5.38559322034; 0.138418079096; 7.26836158192; 7.03672316384
; Spain; 4.68079096045; 0.0706214689266; 7.14124293785; 7.07627118644
